material_id,name,description,duration
HM001,English language 1,Introduction to English language skills including reading,2
HM002,English language 2,Continuation of English language development with focus on academic writing and communication,2
HM003,Human Rights & anticorruption,Study of human rights principles and anti-corruption frameworks in society and professional contexts,2
HM004,Russian language 1,Introduction to the Russian language including basic grammar,2
HM005,Russian language 2,Continuation of Russian language studies with focus on intermediate grammar and communication,2
IS101,Fundamentals of Information Systems,Introduction to information systems concepts,3
IS201,Database Systems,Principles of database design,3
IS202,System Analysis and Design,Methods and techniques for analyzing,3
IS306,Internet of Things,Concepts and applications of IoT including sensors,3
CS101,Introduction to Computers Science,Foundational concepts in computer science including hardware,3
CS102,Structured programming,Fundamentals of structured programming using procedural techniques,3
CS103,Discrete Structure,Mathematical foundations for computer science including logic,3
CS201,Object oriented Programming,Principles of OOP including classes,3
CS202,Signal and System,Analysis of continuous and discrete signals and systems using mathematical and engineering methods,3
CS203,Data Structure,Study of fundamental data structures including arrays,3
CS204,Operating Systems,Concepts of operating systems including processes,3
CS205,Algorithms,Design and analysis of algorithms including sorting,3
CS307,Computer Graphics,"Techniques and algorithms for generating, manipulating, and rendering 2D and 3D visual content using computational methods.",3
CS302,Computer Architecture and Organization,Study of computer hardware organization,3
CS309,Embedded Systems,Design and programming of embedded systems with focus on hardware-software integration,3
CS402,Theory of Computation,Formal languages,3
MTH101,Mathematics 1,Foundations of calculus including limits,3
MTH102,Linear Algebra,Vectors,3
MTH103,Mathematics 2,Advanced calculus topics including multivariable calculus,3
MTH104,Probability and Statistics 1,Introduction to probability theory,3
PH101,Physics,Fundamental principles of physics including mechanics,3
ELC101,Electronics,Basic electronic components,3
ELC201,Logic Design,Boolean algebra,3
AI201,Introduction to Artificial Intelligence,Overview of AI concepts including search,3
AI301,Machine Learning,Supervised and unsupervised learning algorithms,3
AI302,Natural Language Processing,Computational techniques for processing and understanding human language,3
AI303,Speech Recognition,Algorithms and models for automatic recognition and processing of spoken language,3
AI304,Computer vision,Techniques for enabling computers to interpret and understand visual information from images and video,3
AI305,Pattern Recognition,Statistical and neural approaches for classifying and recognizing patterns in data,3
AI306,Computational Perception,Computational models of sensory perception including vision,3
AI401,Intelligent Algorithms,Advanced AI optimization techniques including genetic algorithms,3
AI402,Computational Cognitive Systems,Computational models of human cognition including memory,3
AI403,Deep Learning,Neural network architectures including CNNs,3
AI404,Graduation Project 1,First phase of the graduation project involving problem definition,3
AI405,Multi Agent Systems,Design and analysis of systems with multiple interacting intelligent agents,3
AI406,AI Applications,Practical applications of artificial intelligence in real-world domains and industries,3
AI407,Graduation Project 2,Second phase of the graduation project involving implementation,3
AI314,Artificial Intelligence in Games,Application of AI techniques in game design including pathfinding,3
SW201,Software Engineering,Principles of software development lifecycle,3
SW301,Software Requirements Engineering,Techniques for eliciting,3
SW302,Web Engineering & Development,Design and development of web applications including frontend and backend technologies,3
SW303,User Interface Design,Principles of UI/UX design,3
SW304,Software Project Management,Planning,3
SW305,Software Development for Mobile Devices,Design and development of applications for mobile platforms including iOS and Android,3
SW306,Software Design Patterns,Reusable solutions to common software design problems using established patterns,3
SW307,Agile Software Development,Agile methodologies including Scrum,3
SW309,Development Real-time Software,Design and implementation of software systems with real-time constraints and requirements,3
SW311,Software Construction,Practical techniques for building software including coding standards,3
SW401,Software Testing & Quality Assurance,Strategies and techniques for software testing,3
SW402,Reusable Software Architecture,Architectural patterns,3
SW403,Agile Project Management,Advanced agile project management techniques including scaling agile and managing distributed teams,3
SW404,Software Metrics,Measurement and evaluation of software quality,3
SW405,Safety Critical Software Systems,Design and verification of software for safety-critical applications in aerospace,3
SW406,Graduation Project 1,First phase of software engineering graduation project covering design and planning,3
SW407,Graduation Project 2,Second phase of software engineering graduation project covering implementation and evaluation,3
SW409,Component-Based Software Developments,Design and assembly of software systems from reusable components and services,3
SW410,Software Verification & Validation,Formal and informal methods for verifying software correctness and validating requirements,3
SW411,Service-oriented Architectures,Design of distributed systems using service-oriented and microservices architectural styles,3
SW412,Selected Topics 1 in Software Engineering,Advanced and emerging topics in software engineering research and practice,3
SW413,Selected Topics 2 in Software Engineering,Further advanced topics in software engineering with emphasis on current industry trends,3
DS301,Data Mining & Big Data analysis,Techniques for extracting knowledge from large datasets including clustering,3
DS302,Fundamental of Data Science,Core concepts of data science including data wrangling,3
DS303,Exploratory Data Analysis,Statistical and visual methods for exploring and summarizing datasets to uncover patterns and insights,3
DS304,Data Visualization,Principles and tools for creating effective visual representations of data,3
DS305,Fundamental of Simulation,Mathematical modeling and simulation techniques for analyzing complex systems,3
DS306,Advanced Database Systems,Advanced topics in databases including distributed databases,3
DS307,Cloud computing,Concepts and services of cloud computing including deployment models,3
DS401,Feature Engineering,Techniques for transforming raw data into informative features for machine learning models,3
DS402,Advanced Machine Learning,Advanced machine learning techniques including ensemble methods,3
DS403,Applied data Science,Practical application of data science methods to real-world problems and datasets,3
DS404,Social Media Analytics,Analysis of social media data to extract insights about behavior,3
DS405,Integrated Systems and Big Data Analytics,Integration of big data technologies for end-to-end analytics pipelines and enterprise data systems,3
DS406,Graduation Project 1,First phase of data science graduation project covering problem formulation and data collection,3
DS407,Graduation Project 2,Second phase of data science graduation project covering modeling,3
CB301,Computer Networks,Fundamentals of networking including protocols,3
CB302,Computer Architecture,Organization and design of computer systems including processors,3
CB303,Cryptography,Mathematical foundations and algorithms for encrypting and securing data communications,3
CB304,Introduction to Cyber-Security,Overview of cybersecurity principles,3
CB305,Network Security,Techniques and protocols for securing network infrastructure against attacks and intrusions,3
CB306,Software Security,Methods for developing secure software and identifying and mitigating code-level vulnerabilities,3
CB307,Introduction to Cyber Attacks,Study of common cyber attack techniques,3
CB308,Real-Time Auditing & Defense,Continuous monitoring,3
CB309,Hardware Security,Security mechanisms and vulnerabilities in hardware components and embedded systems,3
CB310,Usable Security,Design of security systems that are both effective and user-friendly,3
CB311,Blockchain & Cryptocurrencies,Distributed ledger technology,3
CB312,Cyber Security for Internet of Things,Security challenges and solutions specific to IoT devices and networks,3
CB313,Reverse Engineering & Disassemblers,Techniques for analyzing compiled software to understand its structure and behavior,3
CB314,Threat Detection and Mitigation,Methods for identifying,3
CB401,Cyber Attack Countermeasures,Defensive techniques and technologies for countering and responding to cyber attacks,3
CB402,Digital Forensics,Investigation techniques for collecting,3
CB403,Advanced Cryptography,Advanced cryptographic protocols,3
CB404,Ethical Hacking,Authorized penetration testing methodologies to identify security weaknesses in systems and networks,3
CB405,Penetration Testing & Vulnerabilities Discovery,Systematic testing of systems to discover and document security vulnerabilities,3
CB406,Graduation Project 1,First phase of cybersecurity graduation project covering threat modeling and solution design,3
CB407,Graduation Project 2,Second phase of cybersecurity graduation project covering implementation and security evaluation,3
CB408,Firewalls and Web Application Firewall,Configuration and management of firewalls and WAFs to protect network and web applications,3
CB409,Cybercrime Investigator,Legal and technical aspects of investigating cybercrime and preparing digital evidence for prosecution,3
CB410,Cryptanalysis,Techniques for breaking or weakening cryptographic systems and analyzing cipher strengths,3
CB411,Selected topic in Networks-1,Advanced topics in computer networks and emerging networking technologies,3
CB412,Selected topic in Networks-2,Further advanced topics in networking with focus on security and performance,3
CB413,Computer Networks Defense,Strategies and technologies for defending computer networks against attacks and unauthorized access,3
STA301,Operations Research,Mathematical optimization techniques including linear programming,3
